Age,Gender,Salary,Department,JobRole,Overtime,Experience,WorkLifeBalance,JobSatisfaction,Attrition
37,Female,82806,IT,Associate,Yes,23,3,5,Yes
47,Male,76963,IT,Lead,No,11,4,2,No
23,Female,125647,Sales,Developer,No,14,1,4,Yes
22,Male,97875,Support,Developer,No,16,4,5,No
33,Male,54341,Support,Director,No,8,4,4,No
26,Female,25597,HR,Developer,Yes,23,4,2,Yes
58,Male,112648,Sales,Lead,No,7,2,5,No
53,Male,122230,Support,Manager,Yes,5,4,5,No
30,Female,30244,Support,Associate,Yes,8,3,3,Yes
56,Male,23796,HR,Developer,Yes,14,3,5,No
40,Male,127127,Management,Lead,Yes,23,1,1,No
37,Female,95589,Management,Director,No,17,1,3,Yes
24,Male,48528,Sales,Executive,No,21,4,2,No
41,Male,135920,IT,Director,Yes,10,2,1,No
45,Female,38648,HR,Associate,No,23,3,1,Yes
54,Male,103967,HR,Executive,No,13,4,4,No
45,Male,20535,Support,Executive,Yes,12,3,3,Yes
32,Female,68469,Support,Director,Yes,12,1,4,No
29,Male,126188,HR,Lead,Yes,21,2,3,No
57,Male,84912,IT,Director,No,12,3,3,No
59,Female,64493,Management,Manager,Yes,24,1,1,No
41,Female,92417,Sales,Lead,Yes,15,3,5,No
56,Male,65785,Management,Lead,No,11,4,4,No
46,Male,142066,Sales,Associate,Yes,20,3,4,No
56,Female,105017,IT,Lead,No,23,3,1,No
46,Male,127771,HR,Associate,No,17,4,5,Yes
50,Male,149026,IT,Developer,Yes,11,2,3,No
39,Male,121377,HR,Associate,Yes,4,2,3,Yes
39,Female,134267,Support,Lead,Yes,16,4,5,No
23,Male,86561,Sales,Developer,Yes,20,2,3,No
56,Male,50869,Support,Developer,No,22,2,4,Yes
37,Female,85094,HR,Manager,Yes,0,4,4,Yes
57,Female,120355,Sales,Director,Yes,12,3,4,No
54,Female,50192,Sales,Lead,No,9,2,1,No
25,Male,89157,Support,Executive,Yes,2,1,3,No
54,Male,116102,Sales,Director,Yes,5,1,1,Yes
35,Female,106483,HR,Lead,No,15,4,3,No
42,Male,99941,HR,Executive,Yes,0,1,4,No
41,Male,77544,Support,Director,No,18,1,4,No
29,Male,24403,IT,Manager,Yes,7,4,5,No
28,Male,56091,HR,Lead,Yes,8,1,3,Yes
24,Female,72510,HR,Director,No,22,1,2,No
38,Female,108061,Sales,Manager,No,19,3,1,No
54,Male,25017,Sales,Executive,Yes,22,4,4,No
33,Female,59203,HR,Associate,Yes,6,2,5,No
43,Male,76473,Support,Lead,No,10,4,5,Yes
43,Male,72123,IT,Developer,Yes,22,1,4,No
51,Female,68260,Sales,Developer,Yes,7,1,3,Yes
59,Female,65938,Sales,Manager,Yes,10,2,5,No
59,Male,77929,IT,Associate,Yes,13,2,3,No
29,Male,105265,Sales,Developer,Yes,13,3,5,No
48,Male,113966,Support,Developer,Yes,3,1,1,No
48,Male,124120,Sales,Lead,No,19,1,3,No
55,Female,57372,Sales,Developer,Yes,8,1,5,No
42,Female,121728,HR,Executive,Yes,7,3,4,Yes
51,Male,73252,Support,Manager,Yes,14,4,2,No
54,Male,34628,Support,Director,Yes,19,2,4,No
49,Female,143239,HR,Developer,No,5,3,3,No
54,Male,130165,Management,Lead,Yes,24,3,4,Yes
26,Female,32501,IT,Director,Yes,15,1,4,No
40,Male,138165,Support,Executive,Yes,15,2,2,Yes
25,Female,50131,Management,Director,No,13,4,4,No
56,Male,109102,IT,Developer,Yes,14,1,5,No
38,Male,109360,Support,Manager,Yes,21,3,1,Yes
49,Male,139346,Sales,Manager,No,20,3,2,No
51,Female,88348,Support,Manager,No,11,2,3,No
50,Female,118348,IT,Developer,No,22,2,5,Yes
27,Male,112862,Management,Executive,No,17,2,3,No
56,Male,135321,Sales,Associate,No,23,1,2,No
58,Male,148411,IT,Director,Yes,10,3,2,No
45,Male,29402,IT,Manager,Yes,6,2,4,No
50,Female,111861,Support,Executive,Yes,5,4,2,No
52,Female,75956,HR,Lead,No,2,2,3,No
56,Female,146121,HR,Lead,No,8,2,2,Yes
54,Male,71920,Sales,Executive,Yes,14,1,1,Yes
42,Male,127089,IT,Lead,No,1,1,4,No
53,Female,46000,Management,Lead,No,3,1,2,No
44,Male,109795,Sales,Manager,No,1,1,1,Yes
54,Female,132885,Sales,Developer,Yes,5,2,3,No
24,Female,87462,Support,Developer,No,11,3,3,No
39,Female,86392,Management,Developer,Yes,6,4,1,No
46,Female,25988,IT,Developer,Yes,8,4,1,Yes
52,Male,94279,IT,Executive,No,5,3,2,No
24,Female,76999,IT,Manager,Yes,21,4,4,No
45,Male,89674,Sales,Executive,No,4,2,4,No
53,Female,129384,Support,Director,No,3,3,5,No
43,Female,101618,Sales,Director,Yes,9,1,1,Yes
44,Female,73426,HR,Lead,No,19,1,3,No
23,Female,78824,HR,Manager,Yes,3,1,5,No
48,Male,133174,IT,Associate,No,4,2,1,Yes
23,Male,118910,Support,Developer,Yes,16,1,1,No
47,Male,94399,IT,Director,Yes,17,1,5,No
38,Male,80659,IT,Director,No,2,1,4,Yes
54,Female,57790,Sales,Lead,Yes,22,4,1,No
30,Male,134704,IT,Developer,Yes,12,3,5,No
50,Male,115343,IT,Developer,Yes,0,4,2,No
47,Female,42118,Support,Developer,No,18,2,2,No
56,Male,72025,Support,Director,Yes,22,2,3,No
46,Male,142453,Support,Associate,No,21,2,4,No
45,Male,79938,IT,Lead,No,1,4,5,No
34,Male,25149,Support,Developer,Yes,3,3,4,No
28,Female,58079,Support,Developer,No,15,1,4,No
57,Female,22484,Management,Manager,No,15,2,5,No
41,Male,75474,Management,Developer,Yes,16,2,1,No
22,Female,110727,HR,Manager,No,20,4,2,Yes
29,Male,133316,Sales,Lead,No,11,1,3,Yes
37,Male,68601,Sales,Lead,No,1,1,1,No
35,Male,141465,Support,Lead,Yes,23,4,4,Yes
33,Female,137893,HR,Manager,No,9,4,4,No
44,Female,63809,HR,Director,Yes,5,4,5,No
36,Female,40791,Management,Director,Yes,11,3,2,Yes
49,Female,89343,HR,Associate,Yes,11,2,2,No
55,Female,46648,IT,Associate,Yes,16,2,3,Yes
23,Female,51090,Support,Director,No,17,2,1,No
53,Male,110636,IT,Director,Yes,3,3,3,No
44,Female,116485,Sales,Developer,No,2,4,4,No
43,Male,121477,Management,Lead,No,24,2,4,No
46,Male,37857,IT,Director,Yes,16,2,2,Yes
43,Female,145305,Support,Executive,Yes,22,2,4,No
43,Male,82327,IT,Director,No,8,3,1,No
27,Male,132516,IT,Developer,Yes,24,4,1,No
36,Male,113386,HR,Director,Yes,21,2,3,No
58,Female,138026,Management,Associate,Yes,11,2,1,No
54,Female,62967,Sales,Associate,No,6,3,4,No
29,Male,73709,Support,Lead,No,15,4,5,No
26,Female,87948,Support,Manager,No,7,4,2,No
25,Male,68861,Sales,Developer,No,2,2,2,No
27,Female,136839,Support,Manager,Yes,20,1,2,No
53,Male,88718,HR,Associate,No,12,3,5,No
51,Male,143307,IT,Lead,No,19,1,4,No
56,Female,142850,HR,Associate,No,8,1,1,No
37,Female,40948,HR,Lead,No,8,2,4,No
34,Female,53782,HR,Director,No,3,2,3,No
51,Female,70756,Sales,Executive,Yes,13,2,4,No
40,Female,102789,Management,Manager,No,17,3,4,Yes
38,Male,125217,Sales,Developer,Yes,0,3,2,No
40,Male,121031,Sales,Lead,No,18,3,4,No
49,Male,88388,HR,Director,No,1,1,5,No
47,Female,127381,Management,Director,Yes,4,3,2,Yes
58,Female,104528,Sales,Executive,No,21,4,3,No
47,Male,86809,Management,Director,Yes,13,3,5,No
44,Male,27649,HR,Director,No,8,2,5,Yes
30,Male,49002,Sales,Executive,Yes,19,1,3,Yes
33,Male,54723,Management,Manager,No,19,3,1,No
22,Female,94314,Support,Director,Yes,14,2,4,Yes
22,Male,110312,Sales,Lead,No,19,2,4,No
55,Female,90085,Sales,Developer,Yes,0,4,1,No
53,Male,101399,Sales,Developer,No,18,4,3,No
46,Female,31809,Management,Developer,No,3,3,1,No
22,Female,78169,IT,Associate,Yes,13,1,2,No
37,Female,28302,Sales,Associate,Yes,0,1,2,Yes
26,Female,28100,Support,Lead,Yes,4,3,2,Yes
43,Male,88447,Support,Director,Yes,9,3,1,No
50,Male,97627,HR,Director,No,8,3,5,No
24,Male,94635,IT,Developer,Yes,16,1,2,Yes
33,Female,75020,IT,Executive,Yes,13,4,1,Yes
47,Male,25663,Management,Director,No,6,1,2,Yes
37,Male,115440,HR,Developer,Yes,17,2,2,Yes
58,Male,113827,Management,Lead,Yes,9,4,4,Yes
43,Female,64649,HR,Developer,Yes,24,2,1,Yes
50,Female,67136,IT,Manager,No,3,1,4,No
35,Female,135242,Management,Developer,Yes,13,2,3,No
49,Male,144783,HR,Director,No,2,1,2,No
26,Male,126602,IT,Director,No,22,4,2,Yes
51,Male,56104,IT,Executive,No,21,4,4,No
26,Female,59137,Sales,Lead,No,10,4,1,Yes
33,Male,22534,Management,Lead,No,9,2,5,No
37,Female,87762,Sales,Executive,No,7,3,5,No
47,Female,72445,IT,Lead,Yes,8,4,3,Yes
47,Female,29585,Management,Developer,Yes,22,1,1,Yes
42,Female,112796,Management,Lead,Yes,5,2,1,No
57,Male,112947,Support,Developer,No,13,4,4,Yes
54,Male,118470,HR,Lead,Yes,23,3,2,No
51,Female,96438,Support,Director,No,8,4,2,Yes
58,Male,56392,Support,Developer,No,13,2,1,No
44,Female,104267,IT,Developer,Yes,7,2,5,No
31,Male,103324,HR,Director,Yes,5,3,3,No
26,Male,140866,Support,Executive,Yes,23,3,4,Yes
57,Female,51126,Support,Executive,Yes,24,1,1,No
55,Female,62485,Management,Director,Yes,5,4,3,No
52,Female,130905,IT,Associate,No,21,2,1,No
31,Female,131407,Support,Executive,No,1,3,3,No
40,Male,65798,HR,Developer,No,24,2,3,No
53,Female,88310,Sales,Developer,Yes,23,3,2,No
22,Male,29017,Sales,Lead,No,4,1,4,No
26,Female,45700,IT,Lead,Yes,2,4,4,No
25,Male,110680,Sales,Associate,No,24,3,2,No
37,Female,115446,Management,Developer,Yes,10,2,5,No
45,Male,128454,Management,Associate,No,6,2,4,No
37,Male,56507,HR,Developer,No,8,1,2,No
23,Male,67679,IT,Executive,No,12,1,3,No
49,Female,112221,IT,Lead,No,15,3,3,Yes
53,Female,109938,Sales,Director,Yes,22,4,4,No
48,Female,57232,Support,Director,No,11,3,3,No
41,Female,115599,Support,Associate,No,7,2,4,No
45,Male,109661,Support,Manager,No,13,3,1,Yes
33,Male,130685,HR,Director,No,13,1,2,No
56,Male,44020,IT,Developer,No,4,3,5,Yes
54,Female,117239,Sales,Executive,Yes,9,1,4,No
54,Male,77172,HR,Manager,No,21,2,5,No
58,Male,117305,Management,Executive,No,23,4,2,No
33,Female,33746,Management,Executive,No,13,3,2,No
24,Female,141976,Management,Developer,Yes,22,1,1,No
22,Male,83537,IT,Executive,No,16,3,2,No
54,Female,24094,Management,Associate,Yes,3,1,3,Yes
31,Female,88466,Support,Manager,No,23,1,5,No
50,Female,119067,Management,Executive,Yes,14,1,2,No
34,Female,50755,HR,Director,Yes,10,3,2,No
33,Male,115641,Management,Director,Yes,8,1,5,Yes
52,Male,31552,Support,Executive,Yes,14,3,5,No
23,Male,121754,Management,Lead,Yes,21,1,1,No
56,Male,79491,Sales,Lead,Yes,19,4,2,Yes
44,Male,39779,Support,Associate,No,1,1,3,Yes
38,Female,49000,IT,Director,No,24,3,3,No
47,Male,105639,Management,Lead,Yes,0,3,1,No
29,Male,73953,HR,Executive,Yes,20,3,2,Yes
50,Female,77564,Management,Director,No,23,2,5,No
47,Female,34102,HR,Executive,Yes,19,4,3,Yes
31,Female,21861,Sales,Manager,No,16,4,2,No
47,Male,63574,IT,Director,Yes,3,4,1,No
55,Female,52682,Support,Lead,No,4,2,1,Yes
28,Female,98819,Support,Developer,Yes,4,2,5,No
25,Female,111133,IT,Lead,Yes,13,4,1,Yes
32,Male,134797,Sales,Executive,No,0,1,1,No
50,Female,97972,Sales,Manager,No,1,1,1,No
57,Female,141237,Management,Lead,Yes,21,4,3,No
46,Male,113960,Sales,Manager,No,9,1,5,Yes
42,Female,85185,Management,Lead,Yes,4,3,5,No
57,Male,94426,HR,Associate,Yes,8,2,5,No
31,Male,68120,IT,Executive,Yes,12,4,1,No
58,Female,58297,HR,Executive,Yes,22,1,1,No
30,Male,134147,HR,Developer,No,20,4,3,No
45,Female,28299,HR,Executive,Yes,12,4,1,Yes
56,Female,61348,HR,Developer,Yes,8,3,3,Yes
56,Female,61384,Support,Executive,No,13,2,5,No
57,Female,137182,Sales,Lead,No,16,2,3,No
39,Male,96693,IT,Lead,Yes,2,4,2,No
53,Female,115299,IT,Associate,Yes,17,3,4,No
45,Female,52687,HR,Lead,Yes,11,1,1,No
44,Female,84577,IT,Manager,Yes,22,2,5,Yes
53,Male,80047,Management,Lead,No,8,4,4,No
58,Male,30191,IT,Developer,Yes,15,1,4,No
33,Female,76884,HR,Director,No,12,4,5,Yes
34,Male,74911,IT,Associate,Yes,17,1,4,No
44,Male,97303,Sales,Director,No,11,1,3,No
46,Female,103447,HR,Director,No,21,1,5,Yes
56,Female,114165,Support,Manager,Yes,1,1,5,No
51,Female,120330,Sales,Manager,No,18,1,3,No
38,Female,112480,IT,Executive,No,0,1,2,No
41,Female,63726,Support,Developer,No,5,3,2,Yes
46,Male,54623,Sales,Director,No,17,1,4,No
43,Female,133367,Management,Lead,Yes,2,1,5,No
34,Female,133219,Sales,Lead,No,21,2,3,No
40,Female,143326,Support,Executive,Yes,5,2,5,Yes
57,Female,103517,Management,Lead,No,3,1,3,No
33,Female,143089,IT,Manager,Yes,16,4,2,No
40,Male,70000,HR,Lead,Yes,22,2,2,No
33,Female,91494,IT,Director,No,17,3,4,No
30,Male,100241,HR,Lead,Yes,21,3,3,Yes
28,Female,116172,HR,Manager,No,6,3,2,No
49,Female,83027,Support,Developer,Yes,1,2,1,Yes
35,Female,78995,Management,Director,No,14,3,2,No
52,Male,62876,Management,Developer,No,21,3,5,No
40,Female,138217,Sales,Manager,Yes,16,4,3,No
37,Female,71070,IT,Manager,Yes,5,4,1,No
26,Female,110688,Support,Director,No,7,2,2,No
56,Female,124065,IT,Associate,No,7,1,2,Yes
33,Female,86224,Sales,Associate,No,6,4,3,No
46,Female,45365,Sales,Lead,No,3,1,1,No
42,Female,49663,Support,Director,Yes,19,4,3,Yes
57,Male,85436,Sales,Director,Yes,4,4,2,Yes
44,Female,124610,Support,Lead,Yes,7,4,4,No
37,Female,123376,Sales,Associate,Yes,13,4,3,Yes
35,Female,103275,Management,Lead,No,19,1,2,No
52,Male,136375,Support,Developer,No,24,2,3,No
26,Male,143229,Management,Developer,Yes,2,1,2,No
56,Female,83211,Management,Executive,No,24,3,3,No
44,Male,30909,Support,Associate,No,17,1,2,No
50,Female,80883,IT,Developer,Yes,21,3,1,Yes
32,Female,32713,HR,Executive,Yes,14,1,5,Yes
39,Male,32614,Sales,Manager,Yes,20,1,5,No
33,Female,127625,Sales,Director,Yes,4,4,3,No
30,Male,118097,IT,Developer,Yes,14,1,2,Yes
31,Male,40734,HR,Executive,Yes,5,4,5,Yes
38,Male,50709,IT,Lead,Yes,9,2,5,Yes
59,Female,42885,HR,Director,No,22,1,3,No
28,Female,91622,Support,Executive,No,19,4,3,Yes
34,Female,98267,Support,Developer,No,14,3,3,No
30,Female,106128,Management,Lead,Yes,19,4,4,No
48,Female,33341,Management,Lead,Yes,8,3,1,Yes
23,Female,59435,Support,Executive,Yes,3,1,1,No
26,Female,32976,Management,Executive,No,7,2,1,No
50,Male,102910,Support,Developer,Yes,12,1,2,No
58,Female,144753,IT,Lead,No,16,1,2,No
59,Female,97869,Sales,Associate,Yes,3,4,1,No
40,Female,25290,Support,Executive,No,1,3,3,No
29,Male,65812,Support,Associate,No,4,2,4,Yes
22,Male,70528,Support,Associate,Yes,1,3,1,No
43,Male,78570,Management,Lead,Yes,15,2,3,No
38,Female,131841,Management,Developer,No,22,1,5,No
28,Male,76399,Management,Associate,No,22,4,4,No
46,Male,68437,Management,Developer,Yes,14,3,2,No
25,Female,109122,IT,Executive,Yes,24,1,5,No
57,Female,77907,Support,Lead,Yes,3,1,5,No
27,Female,140992,IT,Manager,Yes,14,4,5,Yes
52,Male,101876,Management,Lead,No,4,3,3,No
40,Female,68723,IT,Manager,Yes,2,1,1,No
48,Female,55655,Support,Director,No,13,4,5,No
31,Female,134098,Support,Executive,Yes,6,2,1,No
47,Female,75833,Management,Developer,No,14,1,5,No
